2026-05-12 10:57:36,510 | INFO | saucedemo | Typing 'standard_user' into element: ('id', 'user-name')
2026-05-12 10:57:36,800 | INFO | saucedemo | Typing 'secret_sauce' into element: ('id', 'password')
2026-05-12 10:57:36,979 | INFO | saucedemo | Clicking element: ('id', 'login-button')
2026-05-12 10:57:37,342 | INFO | saucedemo | Clicking element: ('id', 'add-to-cart-sauce-labs-fleece-jacket')
2026-05-12 10:57:37,680 | INFO | saucedemo | Clicking element: ('class name', 'shopping_cart_link')
2026-05-12 10:57:37,891 | INFO | saucedemo | Clicking element: ('id', 'checkout')
2026-05-12 10:57:38,033 | INFO | saucedemo | Typing 'Khayyam' into element: ('id', 'first-name')
2026-05-12 10:57:38,318 | INFO | saucedemo | Typing 'Khalilov' into element: ('id', 'last-name')
2026-05-12 10:57:38,431 | INFO | saucedemo | Clicking element: ('id', 'continue')
2026-05-12 10:57:38,565 | INFO | saucedemo | Getting  text from element : ('css selector', "h3[data-test='error']")
